lead_id,full_name,email,phone,source_id,campaign_id,funnel_stage_id,property_id,agent_id,created_at,converted
100,Fatima Mansour,fatima.mansour99@clients.com,+201066474382,1,49,1,7773,758,2023-02-24,False
101,Omar Taha,omar.taha100@clients.com,+201034506718,4,23,5,11665,268,2024-03-04,False
102,Hassan Emara,hassan.emara101@clients.com,+201098597971,4,8,1,14770,658,2023-08-26,False
103,Khaled Emara,khaled.emara102@clients.com,+201054736681,4,48,5,3694,665,2024-09-10,True
104,Laila Soliman,laila.soliman103@clients.com,+201159189317,3,28,5,2152,121,2024-02-10,True
105,Ahmed Fouad,ahmed.fouad104@clients.com,+201148905062,4,3,6,13723,724,2023-09-16,False
106,Hoda Emara,hoda.emara105@clients.com,+201011206878,1,50,1,14930,666,2023-01-31,False
107,Ali Khaled,ali.khaled106@clients.com,+201527606031,2,12,2,6913,229,2023-08-07,False
108,Mahmoud Ali,mahmoud.ali107@clients.com,+201084112025,4,16,2,2609,179,2024-07-25,False
109,Mahmoud Ali,mahmoud.ali108@clients.com,+201059485923,4,48,5,14277,113,2023-01-03,True
110,Aya Shalaby,aya.shalaby109@clients.com,+201167409105,3,32,5,11737,521,2024-07-09,True
111,Dina Mansour,dina.mansour110@clients.com,+201291795630,2,11,4,10987,147,2023-06-23,False
112,Hoda Fahmy,hoda.fahmy111@clients.com,+201123739339,2,1,5,3244,378,2024-06-09,False
113,Mariam Badawy,mariam.badawy112@clients.com,+201195128373,2,13,4,9006,762,2023-10-31,False
114,Fatima Amer,fatima.amer113@clients.com,+201027627626,4,21,2,8564,725,2023-06-09,False
115,Mahmoud Shalaby,mahmoud.shalaby114@clients.com,+201289689481,3,50,5,7062,234,2024-03-12,True
116,Dina Shalaby,dina.shalaby115@clients.com,+201130178986,3,21,1,6296,621,2023-11-27,False
117,Mona Mansour,mona.mansour116@clients.com,+201246379665,2,23,1,1975,472,2024-05-02,False
118,Ahmed Fouad,ahmed.fouad117@clients.com,+201094866163,1,7,5,14249,533,2023-01-05,True
119,Ibrahim Rizk,ibrahim.rizk118@clients.com,+201025060172,4,7,2,6269,43,2023-11-27,False
120,Ahmed Taha,ahmed.taha119@clients.com,+201061659655,4,49,5,9690,646,2024-09-11,False
121,Tarek Mansour,tarek.mansour120@clients.com,+201146909547,4,3,6,6468,533,2024-10-24,False
122,Nour Fouad,nour.fouad121@clients.com,+201042597697,3,6,1,11038,741,2023-09-23,False
123,Fatima Soliman,fatima.soliman122@clients.com,+201520504055,1,12,5,6052,533,2024-08-31,True
124,Nour Amer,nour.amer123@clients.com,+201228736414,4,8,6,5212,215,2023-12-04,False
125,Hassan Khaled,hassan.khaled124@clients.com,+201575080661,4,33,1,14225,584,2023-06-09,False
126,Hana Badawy,hana.badawy125@clients.com,+201589090349,2,1,4,12868,225,2023-04-27,False
127,Ibrahim Ibrahim,ibrahim.ibrahim126@clients.com,+201563426327,2,48,4,11082,680,2023-08-10,False
128,Aya Abbas,aya.abbas127@clients.com,+201078344294,2,10,5,11158,598,2023-11-11,False
129,Mahmoud Kamel,mahmoud.kamel128@clients.com,+201522922885,2,39,5,13499,768,2023-01-18,True
130,Tarek Kamel,tarek.kamel129@clients.com,+201576669023,1,13,5,5274,489,2023-02-07,True
131,Khaled Nassar,khaled.nassar130@clients.com,+201098112864,2,24,5,6773,758,2024-07-03,True
132,Mariam Badawy,mariam.badawy131@clients.com,+201063263144,2,15,5,14280,598,2023-01-10,True
133,Laila Fouad,laila.fouad132@clients.com,+201037003970,2,5,2,6129,742,2024-07-04,False
134,Laila Kamel,laila.kamel133@clients.com,+201176533444,2,1,6,6928,667,2023-09-30,False
135,Mariam Said,mariam.said134@clients.com,+201279694406,4,41,5,2946,508,2024-10-13,False
136,Khaled Soliman,khaled.soliman135@clients.com,+201249231284,4,7,4,5091,148,2023-01-14,False
137,Hoda Fahmy,hoda.fahmy136@clients.com,+201536160296,2,41,5,5515,701,2024-07-17,True
138,Nour Ghoneim,nour.ghoneim137@clients.com,+201051532798,1,44,2,234,617,2023-02-23,False
139,Youssef Said,youssef.said138@clients.com,+201162452955,4,19,4,9973,338,2024-01-27,False
140,Hoda Said,hoda.said139@clients.com,+201144062836,3,41,5,6335,175,2023-06-15,False
141,Hoda Amer,hoda.amer140@clients.com,+201087102046,1,12,5,12851,46,2024-03-10,True
142,Laila Ali,laila.ali141@clients.com,+201125228376,2,28,4,398,649,2024-02-03,False
143,Mahmoud Nassar,mahmoud.nassar142@clients.com,+201110242226,1,5,4,12026,39,2023-02-13,False
144,Khaled Taha,khaled.taha143@clients.com,+201175183589,4,35,5,8843,253,2023-08-03,False
145,Mona Amer,mona.amer144@clients.com,+201552589736,3,6,6,14737,755,2024-05-14,False
146,Mariam Hassan,mariam.hassan145@clients.com,+201248867650,4,36,5,8002,249,2023-07-09,False
147,Dina Khaled,dina.khaled146@clients.com,+201196182695,2,46,6,9391,746,2023-10-12,False
148,Hana El-Masry,hana.el-masry147@clients.com,+201527120906,4,36,1,3564,741,2024-04-12,False
149,Laila Ghoneim,laila.ghoneim148@clients.com,+201231914637,4,23,6,8169,228,2023-09-22,False
150,Fatima Khaled,fatima.khaled149@clients.com,+201242664018,4,45,5,6598,586,2024-10-12,True
151,Mariam Mansour,mariam.mansour150@clients.com,+201296267399,4,40,3,11829,169,2023-05-31,False
152,Mohamed Fahmy,mohamed.fahmy151@clients.com,+201529425526,1,43,5,4004,773,2023-10-03,True
153,Sara Fahmy,sara.fahmy152@clients.com,+201256764183,3,19,4,14721,749,2023-07-19,False
154,Omar Nassar,omar.nassar153@clients.com,+201581763035,2,23,5,13615,417,2024-03-09,True
155,Hassan Ghoneim,hassan.ghoneim154@clients.com,+201565158353,1,27,6,10613,231,2023-09-27,False
156,Tarek Kamel,tarek.kamel155@clients.com,+201252373319,4,1,3,8092,133,2023-07-02,False
157,Mona Emara,mona.emara156@clients.com,+201158124211,3,8,3,696,392,2024-06-03,False
158,Hana Said,hana.said157@clients.com,+201066050562,2,14,1,3134,45,2024-07-17,False
159,Ibrahim Shalaby,ibrahim.shalaby158@clients.com,+201546730162,3,38,4,8956,122,2023-01-07,False
160,Nour Mansour,nour.mansour159@clients.com,+201572209858,4,26,5,6984,303,2024-04-09,True
161,Youssef Fouad,youssef.fouad160@clients.com,+201567064163,4,5,6,1945,288,2023-12-07,False
162,Hoda Nassar,hoda.nassar161@clients.com,+201250137218,3,19,1,4564,4,2023-10-13,False
163,Laila Ibrahim,laila.ibrahim162@clients.com,+201096590684,3,23,6,4999,734,2023-05-05,False
164,Aya Fahmy,aya.fahmy163@clients.com,+201080284339,3,17,5,10651,726,2024-07-18,True
165,Hassan Amer,hassan.amer164@clients.com,+201274083675,1,42,4,4923,5,2023-03-23,False
166,Tarek Hassan,tarek.hassan165@clients.com,+201057551323,3,2,4,14304,778,2023-03-16,False
167,Mahmoud Emara,mahmoud.emara166@clients.com,+201257266106,2,2,3,12224,655,2024-08-12,False
168,Ahmed Taha,ahmed.taha167@clients.com,+201599234698,1,11,2,729,324,2023-04-04,False
169,Youssef Nassar,youssef.nassar168@clients.com,+201261423348,3,25,6,7830,95,2023-03-26,False
170,Khaled Ghoneim,khaled.ghoneim169@clients.com,+201057478226,2,31,4,9659,41,2023-07-20,False
171,Hassan Soliman,hassan.soliman170@clients.com,+201198460639,4,14,5,4422,115,2024-01-07,True
172,Hana Rizk,hana.rizk171@clients.com,+201599969499,3,8,5,10271,798,2024-05-22,True
173,Fatima Mansour,fatima.mansour172@clients.com,+201097807983,1,23,1,2074,395,2023-07-04,False
174,Hoda Taha,hoda.taha173@clients.com,+201211589425,1,16,6,8613,292,2023-07-28,False
175,Aya Abbas,aya.abbas174@clients.com,+201593964298,1,50,4,8572,588,2023-03-14,False
176,Youssef Amer,youssef.amer175@clients.com,+201183791202,1,3,1,9213,277,2024-09-13,False
177,Youssef Khaled,youssef.khaled176@clients.com,+201210996965,1,35,4,8852,258,2023-10-07,False
178,Ibrahim Rizk,ibrahim.rizk177@clients.com,+201295032844,1,9,5,1046,368,2023-11-17,False
179,Hoda Rizk,hoda.rizk178@clients.com,+201583115829,1,19,4,2693,437,2024-07-15,False
180,Hoda Ibrahim,hoda.ibrahim179@clients.com,+201244074277,2,44,5,2008,554,2023-02-05,True
181,Aya Fahmy,aya.fahmy180@clients.com,+201258507196,3,47,4,9740,515,2024-08-24,False
182,Laila Badawy,laila.badawy181@clients.com,+201597714277,4,28,4,12625,505,2024-06-05,False
183,Mahmoud Nassar,mahmoud.nassar182@clients.com,+201162421017,3,10,5,2611,621,2024-08-29,False
184,Youssef Nassar,youssef.nassar183@clients.com,+201053509568,4,42,5,2833,120,2023-03-15,True
185,Aya Ghoneim,aya.ghoneim184@clients.com,+201299455884,1,23,6,8075,640,2024-03-14,False
186,Mahmoud Khaled,mahmoud.khaled185@clients.com,+201135105139,2,37,5,6231,590,2024-02-10,True
187,Nour Ghoneim,nour.ghoneim186@clients.com,+201243847320,2,5,6,12909,58,2023-08-21,False
188,Hassan Hassan,hassan.hassan187@clients.com,+201150918544,3,20,5,8602,794,2024-02-26,False
189,Omar Amer,omar.amer188@clients.com,+201131839294,2,8,6,6599,34,2024-12-20,False
190,Ali Amer,ali.amer189@clients.com,+201145194388,1,27,5,4030,170,2024-08-30,False
191,Fatima Emara,fatima.emara190@clients.com,+201558997666,2,40,4,10838,296,2024-03-02,False
192,Tarek Ghoneim,tarek.ghoneim191@clients.com,+201298427137,3,37,5,7426,270,2024-10-19,True
193,Ibrahim Fouad,ibrahim.fouad192@clients.com,+201138501130,2,13,4,10415,546,2024-09-26,False
194,Omar Fahmy,omar.fahmy193@clients.com,+201228872266,2,40,2,9112,388,2024-11-25,False
195,Mahmoud Badawy,mahmoud.badawy194@clients.com,+201199875979,3,12,5,9395,27,2023-03-30,True
196,Aya Ghoneim,aya.ghoneim195@clients.com,+201266608503,4,17,4,6071,413,2023-01-16,False
197,Aya Amer,aya.amer196@clients.com,+201083724805,1,18,5,11581,77,2024-08-14,True
198,Laila Taha,laila.taha197@clients.com,+201118203940,4,21,3,13270,365,2024-11-18,False
199,Hoda Abbas,hoda.abbas198@clients.com,+201097780157,3,25,5,5988,265,2024-05-29,True
200,Hana Ali,hana.ali199@clients.com,+201069553556,3,14,5,10255,504,2024-12-17,False
201,Hoda Abbas,hoda.abbas200@clients.com,+201227389426,4,39,6,8759,653,2024-01-01,False
202,Omar Ghoneim,omar.ghoneim201@clients.com,+201573350698,4,28,1,3855,27,2024-05-26,False
203,Omar Hassan,omar.hassan202@clients.com,+201155713391,2,41,5,4547,708,2024-08-09,True
204,Hana Ali,hana.ali203@clients.com,+201163807688,3,49,5,11688,531,2023-11-27,True
205,Tarek Kamel,tarek.kamel204@clients.com,+201598675454,4,18,2,10013,633,2024-07-27,False
206,Ahmed Hassan,ahmed.hassan205@clients.com,+201537538140,1,23,6,4903,418,2024-01-01,False
207,Mahmoud Fouad,mahmoud.fouad206@clients.com,+201522140762,2,37,6,9918,496,2023-10-20,False
208,Sara Emara,sara.emara207@clients.com,+201291694597,4,45,3,10653,712,2024-10-06,False
209,Ali Soliman,ali.soliman208@clients.com,+201548338690,1,48,6,12219,73,2023-08-27,False
210,Hana Rizk,hana.rizk209@clients.com,+201247922076,1,27,6,561,386,2024-05-14,False
211,Mahmoud Taha,mahmoud.taha210@clients.com,+201083129807,3,33,5,13065,16,2023-03-20,True
212,Tarek Khaled,tarek.khaled211@clients.com,+201038511771,2,31,5,6165,698,2024-06-14,True
213,Tarek Badawy,tarek.badawy212@clients.com,+201540116614,3,35,5,4404,312,2024-05-03,True
214,Omar Nassar,omar.nassar213@clients.com,+201114307529,2,4,3,5037,123,2024-06-20,False
215,Mohamed Taha,mohamed.taha214@clients.com,+201024711973,1,23,6,11093,270,2023-08-09,False
216,Ibrahim Ali,ibrahim.ali215@clients.com,+201016654263,3,49,5,46,267,2023-02-19,True
217,Dina Shalaby,dina.shalaby216@clients.com,+201081946436,4,47,5,8963,112,2024-10-31,True
218,Mariam Emara,mariam.emara217@clients.com,+201246208466,3,9,5,13505,629,2023-03-09,True
219,Mahmoud Rizk,mahmoud.rizk218@clients.com,+201163682655,3,6,5,9620,300,2023-11-09,True
220,Tarek Khaled,tarek.khaled219@clients.com,+201131895778,4,48,5,8385,663,2023-07-08,True
221,Youssef Fouad,youssef.fouad220@clients.com,+201593315824,4,46,1,9522,750,2024-03-26,False
222,Mahmoud Hassan,mahmoud.hassan221@clients.com,+201549854072,1,12,6,11449,764,2023-01-08,False
223,Mohamed Khaled,mohamed.khaled222@clients.com,+201122425382,4,9,6,6050,128,2024-02-11,False
224,Mariam Rizk,mariam.rizk223@clients.com,+201121219598,1,16,5,801,697,2023-03-25,True
225,Khaled Fahmy,khaled.fahmy224@clients.com,+201156931487,1,14,3,41,611,2024-12-16,False
226,Ibrahim Nassar,ibrahim.nassar225@clients.com,+201145303351,3,24,6,1718,249,2024-10-15,False
227,Ibrahim Abbas,ibrahim.abbas226@clients.com,+201542315968,3,41,5,5382,474,2023-04-16,True
228,Ahmed Shalaby,ahmed.shalaby227@clients.com,+201126168271,1,50,5,1959,381,2024-11-30,True
229,Tarek Abbas,tarek.abbas228@clients.com,+201219122308,1,12,5,7714,222,2024-02-26,True
230,Hassan Soliman,hassan.soliman229@clients.com,+201577421899,3,47,5,14731,252,2024-10-19,True
231,Mariam Mansour,mariam.mansour230@clients.com,+201579184856,2,49,5,8287,240,2024-06-10,False
232,Ali Amer,ali.amer231@clients.com,+201163165942,3,9,6,10643,6,2023-11-10,False
233,Mariam Hassan,mariam.hassan232@clients.com,+201122960545,2,22,5,2696,471,2024-12-10,True
234,Aya Ghoneim,aya.ghoneim233@clients.com,+201510695511,3,33,5,2280,109,2023-12-04,True
235,Ibrahim Khaled,ibrahim.khaled234@clients.com,+201181397222,2,8,1,10728,147,2024-05-21,False
236,Hoda Fahmy,hoda.fahmy235@clients.com,+201256579550,3,27,3,10377,638,2023-08-06,False
237,Khaled Said,khaled.said236@clients.com,+201010274578,2,17,6,9796,438,2023-03-29,False
238,Sara Fouad,sara.fouad237@clients.com,+201268743056,1,41,6,4119,113,2023-03-19,False
239,Mohamed Hassan,mohamed.hassan238@clients.com,+201556389736,2,16,5,11761,194,2023-07-20,True
240,Fatima Said,fatima.said239@clients.com,+201220179390,1,16,3,8828,640,2024-09-11,False
241,Ibrahim Ghoneim,ibrahim.ghoneim240@clients.com,+201062796724,1,35,6,414,121,2023-07-10,False
242,Ahmed Abbas,ahmed.abbas241@clients.com,+201244917893,3,26,6,8034,701,2023-04-02,False
243,Mahmoud Fouad,mahmoud.fouad242@clients.com,+201016385754,3,37,5,882,404,2024-09-01,True
244,Tarek Taha,tarek.taha243@clients.com,+201290577082,3,25,3,6414,35,2024-02-27,False
245,Hassan Amer,hassan.amer244@clients.com,+201143967044,4,20,5,5244,215,2023-12-16,True
246,Mohamed Emara,mohamed.emara245@clients.com,+201087882895,4,4,2,5365,555,2024-09-19,False
247,Khaled Said,khaled.said246@clients.com,+201026741705,1,20,2,1770,246,2024-08-09,False
248,Tarek Abbas,tarek.abbas247@clients.com,+201065683071,1,5,6,8702,381,2023-08-17,False
249,Mona Nassar,mona.nassar248@clients.com,+201132404333,2,31,5,4,355,2024-03-26,True
250,Nour El-Masry,nour.el-masry249@clients.com,+201539807642,1,33,4,13235,326,2023-01-22,False
251,Aya Shalaby,aya.shalaby250@clients.com,+201530627102,4,3,3,6721,507,2023-09-06,False
252,Dina Hassan,dina.hassan251@clients.com,+201069845517,1,19,3,12497,65,2023-06-10,False
253,Hassan Emara,hassan.emara252@clients.com,+201093863166,3,12,4,14918,348,2023-09-23,False
254,Hana El-Masry,hana.el-masry253@clients.com,+201546782241,3,26,5,5009,500,2023-12-07,True
255,Mona El-Masry,mona.el-masry254@clients.com,+201180358027,2,3,3,5021,423,2023-05-18,False
256,Ali Soliman,ali.soliman255@clients.com,+201567987965,2,50,3,34,306,2023-11-19,False
257,Ahmed Rizk,ahmed.rizk256@clients.com,+201546707085,4,49,5,11566,75,2023-06-07,True
258,Ahmed Nassar,ahmed.nassar257@clients.com,+201156828187,4,43,5,12084,84,2024-04-22,False
259,Tarek Taha,tarek.taha258@clients.com,+201210262007,4,43,5,13970,162,2024-06-09,True
260,Mariam Fouad,mariam.fouad259@clients.com,+201113335647,4,3,4,2735,571,2024-10-08,False
261,Nour Shalaby,nour.shalaby260@clients.com,+201526547524,4,14,5,3869,228,2023-03-05,False
262,Hana Taha,hana.taha261@clients.com,+201021613468,4,12,5,7457,48,2024-07-01,True
263,Khaled Hassan,khaled.hassan262@clients.com,+201538559598,1,47,4,11164,549,2024-11-30,False
264,Hana Ali,hana.ali263@clients.com,+201131970774,4,17,4,10202,608,2024-10-20,False
265,Nour Shalaby,nour.shalaby264@clients.com,+201042005220,2,12,5,2612,235,2024-03-07,False
266,Hassan Fouad,hassan.fouad265@clients.com,+201211248280,1,37,6,9597,39,2024-03-05,False
267,Omar Ibrahim,omar.ibrahim266@clients.com,+201069896561,4,5,4,11178,578,2023-06-30,False
268,Tarek Khaled,tarek.khaled267@clients.com,+201235036352,3,33,4,10192,361,2023-03-16,False
269,Omar Fouad,omar.fouad268@clients.com,+201171610709,2,15,5,581,542,2023-03-03,True
270,Ibrahim Badawy,ibrahim.badawy269@clients.com,+201097831598,3,40,3,5038,262,2024-02-10,False
271,Mohamed Mansour,mohamed.mansour270@clients.com,+201583437042,2,20,3,5393,530,2023-06-17,False
272,Fatima Fahmy,fatima.fahmy271@clients.com,+201270635333,2,2,5,12234,642,2023-04-14,True
